observed_at,building_id,energy_kwh,temperature_c,hvac_energy_kwh,supply_temp_c,return_temp_c
2024-07-01T08:00:00Z,B-01,42.0,28.0,16.0,8.0,12.0
2024-07-01T09:00:00Z,B-01,44.0,29.0,17.0,8.0,12.5
2024-07-01T10:00:00Z,B-01,43.0,30.0,17.0,8.0,12.5
2024-07-02T08:00:00Z,B-01,45.0,29.0,18.0,8.0,12.0
2024-07-02T09:00:00Z,B-01,46.0,30.0,18.0,8.0,12.0
2024-07-02T10:00:00Z,B-01,80.0,31.0,28.0,8.0,13.0
2024-07-03T08:00:00Z,B-01,44.0,28.0,17.0,8.0,12.0
2024-07-03T09:00:00Z,B-01,47.0,30.0,19.0,8.0,12.5
2024-07-03T10:00:00Z,B-01,49.0,32.0,20.0,8.0,13.0
2024-07-01T08:00:00Z,B-02,31.0,28.0,11.0,8.0,12.0
2024-07-01T09:00:00Z,B-02,33.0,29.0,12.0,8.0,12.0
2024-07-01T10:00:00Z,B-02,35.0,30.0,13.0,8.0,12.5

